title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Spiritualized - And Nothing Hurt ALBUM REVIEW,https://i.ytimg.com/vi/GN5tigKpQ9M/hqdefault.jpg,0,0.001,0,0,0.003,0.541,0.033,0.421,7
6LACK - East Atlanta Love Letter ALBUM REVIEW,https://i.ytimg.com/vi/gHCD_yZlqBA/hqdefault.jpg,0,0.018,0.004,0,0,0.005,0,0.974,4
Russ - Zoo ALBUM REVIEW,https://i.ytimg.com/vi/18NbdIPrMLo/hqdefault.jpg,0,0,0.005,0.001,0.01,0.925,0.004,0.055,3
Yves Tumor - Safe in the Hands of Love ALBUM REVIEW,https://i.ytimg.com/vi/i4BoYm405Zk/hqdefault.jpg,0.001,0.93,0.001,0,0,0.002,0,0.066,7
Thou - Magus ALBUM REVIEW,https://i.ytimg.com/vi/idIoNJQGrAg/hqdefault.jpg,0,0.997,0,0,0,0.001,0,0.001,6
Okonkolo - Cantos ALBUM REVIEW,https://i.ytimg.com/vi/UoAAk3tRb-g/hqdefault.jpg,0,0.973,0,0,0,0.001,0,0.026,7
IDLES - Joy as an Act of Resistance. ALBUM REVIEW,https://i.ytimg.com/vi/4i2PpkVGQNQ/hqdefault.jpg,0,0,0,0.022,0.977,0,0,0,9
George Clanton - Slide ALBUM REVIEW,https://i.ytimg.com/vi/-2Neevd-Low/hqdefault.jpg,0,0.003,0,0.001,0.137,0.028,0.002,0.83,7
Eminem - Kamikaze ALBUM REVIEW,https://i.ytimg.com/vi/J34qpusEXK4/hqdefault.jpg,0,0.888,0.002,0,0,0,0,0.11,4
Interpol - Marauder ALBUM REVIEW,https://i.ytimg.com/vi/gJltJ5WeGvA/hqdefault.jpg,0,0.5,0,0,0.001,0.498,0,0,4
Blood Orange - Negro Swan ALBUM REVIEW,https://i.ytimg.com/vi/KMc_N5ziha0/hqdefault.jpg,0,0,0,0,0,0,0,1,8
Oh Sees - Smote Reverser ALBUM REVIEW,https://i.ytimg.com/vi/N0VWqq5BPlc/hqdefault.jpg,0,0,0.002,0.005,0.001,0.723,0.266,0.002,6
Hermit and the Recluse - Orpheus vs. the Sirens ALBUM REVIEW,https://i.ytimg.com/vi/5wzAij917v4/hqdefault.jpg,0.002,0.85,0,0,0,0.14,0,0.007,8
Louis Cole - Time ALBUM REVIEW,https://i.ytimg.com/vi/BEDSulIgCQc/hqdefault.jpg,0,0.006,0,0,0,0.993,0.001,0,8
Ariana Grande - Sweetener ALBUM REVIEW,https://i.ytimg.com/vi/OxeoGczp0Qg/hqdefault.jpg,0.001,0.996,0.001,0,0,0.002,0,0,7
Trippie Redd - Life's a Trip ALBUM REVIEW,https://i.ytimg.com/vi/WgSPTczwVbQ/hqdefault.jpg,0,0.977,0,0,0,0.023,0,0,5
Imperial Triumphant - Vile Luxury ALBUM REVIEW,https://i.ytimg.com/vi/IX5QmxD9kVE/hqdefault.jpg,0,0,0,0,0,0.138,0.002,0.86,8
Mac Miller - Swimming ALBUM REVIEW,https://i.ytimg.com/vi/UgwPxFUUg94/hqdefault.jpg,0,0.049,0.002,0,0,0,0,0.948,3
Travis Scott - Astroworld ALBUM REVIEW,https://i.ytimg.com/vi/t4RjOz8dKro/hqdefault.jpg,0,0,0,0,0,0.99,0.01,0,7
